Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,State,Poverty Rate
01005,5014.0,45.4,70325.0,35334.0,307.0,13.0,6.122856003191065
01007,14906.0,43.8,86165.0,39308.0,855.0,63.0,5.735945256943513
01008,1272.0,49.9,62750.0,33933.0,89.0,40.0,6.99685534591195
01009,384.0,66.2,59440.0,26043.0,171.0,0.0,44.53125
01010,3724.0,48.1,86523.0,39077.0,156.0,139.0,4.189044038668099
01011,1507.0,39.9,75263.0,30903.0,102.0,33.0,6.768414067684141
01012,531.0,43.2,70114.0,37778.0,60.0,10.0,11.299435028248588
01013,23026.0,35.0,39868.0,21738.0,4151.0,647.0,18.02744723356206
01020,30148.0,44.2,58780.0,30076.0,3173.0,983.0,10.524744593339525
01022,2604.0,37.6,43349.0,25748.0,615.0,89.0,23.617511520737327
01026,958.0,49.5,51442.0,30925.0,45.0,10.0,4.697286012526096
01027,17870.0,44.9,63699.0,34386.0,1773.0,442.0,9.921656407386681
01028,16156.0,45.9,85221.0,38320.0,708.0,459.0,4.382272839811835
01029,728.0,47.3,50750.0,31970.0,102.0,91.0,14.010989010989011
01030,11211.0,45.1,71716.0,33551.0,1057.0,164.0,9.428240121309429
01031,1151.0,38.6,41875.0,27940.0,199.0,39.0,17.28931364031277
01032,551.0,49.8,78011.0,37424.0,12.0,23.0,2.1778584392014517
01033,6300.0,45.8,89965.0,40222.0,324.0,161.0,5.142857142857143
01034,2313.0,46.9,87045.0,36015.0,186.0,64.0,8.041504539559014
01035,5301.0,47.4,58953.0,41575.0,280.0,112.0,5.282022259950953
01036,5193.0,49.4,81304.0,39634.0,206.0,61.0,3.966878490275371
01037,772.0,46.1,92750.0,31356.0,93.0,0.0,12.046632124352332
01038,2897.0,51.4,67096.0,39453.0,112.0,78.0,3.8660683465654127
01039,1129.0,54.6,80000.0,49565.0,85.0,18.0,7.528786536758193
01040,40362.0,35.2,37954.0,22625.0,11228.0,1057.0,27.818244883801597
01050,2334.0,43.7,68869.0,31233.0,165.0,37.0,7.069408740359897
01053,1658.0,53.2,62222.0,31413.0,309.0,18.0,18.636911942098916
01054,1997.0,50.9,87174.0,46486.0,120.0,29.0,6.009013520280421
01056,21331.0,44.4,67715.0,33247.0,1195.0,620.0,5.602175237916647
01057,8801.0,46.3,78986.0,35989.0,501.0,150.0,5.692534939211453
01060,15729.0,34.3,57485.0,36152.0,1962.0,276.0,12.473774556551593
01062,10587.0,45.2,73438.0,38373.0,1485.0,207.0,14.026636440918107
01063,574.0,20.5,-666666666.0,3532.0,0.0,0.0,0.0
01066,9.0,-666666666.0,-666666666.0,,0.0,0.0,0.0
01068,1849.0,46.7,85938.0,35289.0,70.0,45.0,3.785830178474851
01069,8919.0,47.1,59211.0,32833.0,632.0,120.0,7.085996187913443
01070,637.0,50.2,57000.0,30342.0,51.0,4.0,8.006279434850864
01071,1206.0,47.9,67132.0,32683.0,54.0,35.0,4.477611940298507
01072,1490.0,45.6,72000.0,36574.0,182.0,34.0,12.21476510067114
01073,6090.0,46.4,89423.0,44641.0,278.0,84.0,4.564860426929393
01074,477.0,33.7,61603.0,18494.0,0.0,0.0,0.0
01075,17755.0,40.3,66681.0,32046.0,1602.0,713.0,9.022810475922276
01077,9711.0,46.6,76737.0,38002.0,697.0,150.0,7.17742765935537
01079,480.0,46.3,27105.0,31721.0,55.0,0.0,11.458333333333334
01080,2532.0,32.7,49844.0,23355.0,846.0,138.0,33.41232227488152
01081,1827.0,43.7,50465.0,26913.0,94.0,37.0,5.145046524356869
01082,10637.0,41.8,51768.0,27830.0,1429.0,102.0,13.434238977155212
01083,3182.0,36.9,65547.0,24012.0,290.0,105.0,9.113764927718416
